id,item,location,trandate,created,type,quantity,amount
101,WIDGET,East,2026-03-02,2026-03-02T09:00:00,ItemRcpt,100,1000.00
102,WIDGET,East,2026-03-05,2026-03-05T10:00:00,ItemShip,-40,
103,WIDGET,East,2026-03-09,2026-03-09T11:00:00,LandedCost,0,60.00
104,WIDGET,East,2026-03-12,2026-03-12T08:15:00,ItemShip,-30,
105,WIDGET,East,2026-03-12,2026-03-12T15:30:00,ItemRcpt,50,650.00
106,WIDGET,East,2026-03-20,2026-03-20T10:00:00,RtnAuth,5,
107,WIDGET,East,2026-03-26,2026-03-26T12:00:00,ItemShip,-25,
201,WIDGET,West,2026-03-03,2026-03-03T09:00:00,InvAdjst,20,220.00
202,WIDGET,West,2026-03-10,2026-03-10T09:00:00,ItemShip,-20,
203,WIDGET,West,2026-03-15,2026-03-15T09:00:00,ItemRcpt,30,390.00
204,WIDGET,West,2026-03-22,2026-03-22T14:00:00,ItemShip,-12,
301,GEAR,East,2026-03-04,2026-03-04T09:00:00,Build,60,1500.00
302,GEAR,East,2026-03-11,2026-03-11T13:00:00,ItemShip,-45,
303,GEAR,East,2026-03-18,2026-03-18T09:00:00,ItemShip,-25,
304,GEAR,East,2026-03-18,2026-03-18T16:00:00,Build,40,1080.00
305,GEAR,East,2026-03-25,2026-03-25T10:00:00,ItemShip,-20,
